model,brand,ram,storage,price,processor,gpu,chipset,battery,battery_capacity,ram_storage_combo
OnePlus Nord N30,OnePlus,8,128,600,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Li-Po 5000 mAh, non-removable battery50W wired",5000.0,1024
Honor Magic Vs,Honor,12,512,5999,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Po 5000 mAh, non-removable battery66W wired
5W reverse wired",5000.0,6144
Honor Magic 5 Pro,Honor,12,512,3199,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5100 mAh, non-removable - InternationalSilicon-carbon 5450 mAh, non-removable - China only battery66W wired
50W wireless
Reverse wireless
5W reverse wired",5100.0,6144
Honor Magic 5,Honor,12,256,2073,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5100 mAh, non-removable battery66W wired
5W reverse wired",5100.0,3072
Redmi Note 12 Pro Plus,Redmi,8,256,909,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,Mediatek MT6877V Dimensity 1080 (6 nm),"Li-Po 5000 mAh, non-removable battery120W wired, PD3.0, 100% in 19 min (advertised)",5000.0,2048
Redmi Note 12 5G,Redmi,8,256,999,Octa-core (2x2.0 GHz Cortex-A78 & 6x1.8 GHz Cortex-A55),Adreno 619,Qualcomm SM4375 Snapdragon 4 Gen 1 (6 nm),"Li-Po 5000 mAh, non-removable battery33W wired, 50% in 22 min (advertised)",5000.0,2048
Redmi Note 12,Redmi,6,128,299,Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Qualcomm SM6225 Snapdragon 685 (6 nm),"Li-Po 5000 mAh, non-removable battery33W wired",5000.0,768
Redmi Note 12 (Variant 1),Redmi,8,128,699,Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Qualcomm SM6225 Snapdragon 685 (6 nm),"Li-Po 5000 mAh, non-removable battery33W wired",5000.0,1024
Infinix Hot 30i,Infinix,4,128,349,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T606 (12 nm),"Li-Po 5000 mAh, non-removable battery18W wired",5000.0,512
Infinix Hot 30,Infinix,8,128,479,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G88 (12nm),"Li-Po 5000 mAh, non-removable battery33W wired, 55% in 30 min (advertised)",5000.0,1024
OnePlus Nord CE 3 Lite,OnePlus,8,256,1099,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Li-Po 5000 mAh, non-removable battery67W wired, 80% in 30 min (advertised)",5000.0,2048
Redmi Note 12 Turbo  (Harry Potter Edition),Redmi,12,256,1308,Octa-core (1x2.91 GHz Cortex-A710 & 3x2.49 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 725,Qualcomm SM7475-AB Snapdragon 7+ Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3, QC4",5000.0,3072
Redmi Note 12 Turbo  (Harry Potter Edition) (Variant 1),Redmi,12,256,1308,Octa-core (1x2.91 GHz Cortex-A710 & 3x2.49 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 725,Qualcomm SM7475-AB Snapdragon 7+ Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3, QC4",5000.0,3072
TECNO SPARK 10,TECNO,8,128,299,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320,Mediatek MT6765 Helio G37 (12 nm),"Li-Po 5000 mAh, non-removable battery18W wired",5000.0,1024
TECNO SPARK 10 5G,TECNO,8,128,499,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6020 (7 nm),"Li-Po 5000 mAh, non-removable battery18W wired",5000.0,1024
TECNO  Phantom V Fold,TECNO,12,512,5399,Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,Mediatek Dimensity 8050 (6 nm),"Li-Po 4000 mAh, non-removable battery45W wired, 50% in 15 min (advertised)",4000.0,6144
vivo V27,vivo,8,256,1699,Octa-core (2x2.8 GHz Cortex-A715 & 6x Cortex-A510),Mali-G610 MC4,Mediatek Dimensity 7200 (4 nm),"Li-Po 4600 mAh, non-removable battery66W wired, 50% in 19 min (advertised)",4600.0,2048
vivo V27 (Variant 1),vivo,12,256,1999,Octa-core (2x2.8 GHz Cortex-A715 & 6x Cortex-A510),Mali-G610 MC4,Mediatek Dimensity 7200 (4 nm),"Li-Po 4600 mAh, non-removable battery66W wired, 50% in 19 min (advertised)",4600.0,3072
realme C55,realme,6,128,649,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G88 (12nm),"Li-Po 5000 mAh, non-removable battery33W wired, 50% in 29 min (advertised)",5000.0,768
realme C55 (Variant 1),realme,8,256,699,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G88 (12nm),"Li-Po 5000 mAh, non-removable battery33W wired, 50% in 29 min (advertised)",5000.0,2048
Samsung Galaxy A54,Samsung,8,256,1299,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,Exynos 1380 (5 nm),"Li-Po 5000 mAh, non-removable battery25W wired",5000.0,2048
Samsung Galaxy A34,Samsung,8,256,1059,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,Mediatek MT6877V Dimensity 1080 (6 nm),"Li-Po 5000 mAh, non-removable battery25W wired",5000.0,2048
Samsung Galaxy A14,Samsung,6,128,609,Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55),Mali-G52,Exynos 850 (8nm),"Li-Po 5000 mAh, non-removable battery15W wired",5000.0,768
Google Pixel 7a,Google,8,128,1000,Octa-core (2x2.85 GHz Cortex-X1 & 2x2.35 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Mali-G710 MP7,Google Tensor G2 (5 nm),"Li-Po 4385 mAh, non-removable batteryWired, PD3.0
Wireless",4385.0,1024
Redmi 12C,Redmi,4,128,335,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769Z Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery10W wired",5000.0,512
Redmi 12C (Variant 1),Redmi,6,128,399,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769Z Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery10W wired",5000.0,768
Oppo Find N2 Flip,Oppo,8,256,2999,Octa-core (1x3.20 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,Mediatek Dimensity 9000+ (4 nm),"Li-Po 4300 mAh, non-removable battery44W wired, 50% in 23 min (advertised)
Reverse wired",4300.0,2048
vivo V27e,vivo,8,256,1299,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek MT8781 Helio G99 (6nm),"Li-Po 4600 mAh, non-removable battery66W wired, 1-50% in 19 min (advertised)",4600.0,2048
TECNO SPARK 10C,TECNO,4,128,178,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T606 (12 nm),"Li-Po 5000 mAh, non-removable battery18W wired",5000.0,512
TECNO SPARK 10 Pro,TECNO,8,256,619,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769H Helio G88 (12nm),"Li-Po 5000 mAh, non-removable battery18W wired",5000.0,2048
Xiaomi 13 Pro,Xiaomi,12,256,4599,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 4820 mAh, non-removable battery120W wired, PD3.0, QC4, 100% in 19 min (advertised)
50W wireless, 100% in 36 min (advertised)
10W reverse wireless",4820.0,3072
Xiaomi 13,Xiaomi,12,256,2150,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 4500 mAh, non-removable battery67W wired, PD3.0, QC4, 100% in 38 min (advertised)
50W wireless, 100% in 48 min (advertised)
10W reverse wireless",4500.0,3072
ZTE Blade V40 Design,ZTE,4,128,479,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T606 (12 nm),"6000mAh battery which supports up to 22.5W fast charging, USB Type-C",6000.0,512
nubia RedMagic 8 Pro,nubia,12,256,2000,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550 Snapdragon 8 Gen 2 (4 nm),"Li-Po 6000 mAh, non-removable battery80W wired, PD3.0, 100% in 35 min (advertised)",6000.0,3072
nubia RedMagic 8 Pro (Variant 1),nubia,16,512,3999,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 6000 mAh, non-removable battery80W wired, PD3.0, 100% in 35 min (advertised) - China
65W wired, PD3.0, 100% in 43 min (advertised) - International",6000.0,8192
vivo Y56,vivo,4,8,399,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek MT6833 Dimensity 700 (7 nm),"Li-Po 5000 mAh, non-removable battery18W wired",5000.0,32
realme 10,realme,8,256,730,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek MT8781 Helio G99 (6nm),"Li-Po 5000 mAh, non-removable battery33W wired, 50% in 28 min (advertised)",5000.0,2048
OnePlus 11,OnePlus,16,256,2899,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery100W wired, PD, 1-50% in 10 min, 1-100% in 25 min (advertised) - International
80W wired, PD - USA",5000.0,4096
OnePlus 11 (Variant 1),OnePlus,16,256,2899,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery100W wired, PD, 1-50% in 10 min, 1-100% in 25 min (advertised) - International
80W wired, PD - USA",5000.0,4096
Realme GT Neo 5,Realme,8,12,816,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Po 5000 mAh, non-removable battery150W wired",5000.0,96
Honor X8a,Honor,8,128,699,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G88 (12nm),"Li-Po 4500 mAh, non-removable battery22.5W wired, 50% in 30 min (advertised)",4500.0,1024
Oppo Reno 8T 5G,Oppo,8,256,1399,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Li-Po 4800 mAh, non-removable battery67W wired, PD, 100% in 44 min (advertised)
Reverse wired",4800.0,2048
Oppo Reno 8T,Oppo,8,256,999,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek MT8781 Helio G99 (6nm),"Li-Po 5000 mAh, non-removable battery33W wired, PD, 54% in 30 min (advertised)
Reverse wired",5000.0,2048
Poco X5,Poco,6,128,794,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Li-Po 5000 mAh, non-removable battery33W wired",5000.0,768
Poco X5 (Variant 1),Poco,8,256,979,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Li-Po 5000 mAh, non-removable battery33W wired",5000.0,2048
Poco X5 Pro,Poco,6,128,1099,Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3.0, QC4
5W reverse wired",5000.0,768
Poco X5 Pro (Variant 1),Poco,8,256,1299,Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3.0, QC4
5W reverse wired",5000.0,2048
vivo X90,vivo,12,256,3699,Octa-core (1x3.05 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)Octa-core (1x3.05 GHz Cortex-X3 & 3x2.85 GHz Cortex-A715 & 4x1.80 GHz Cortex-A510),Arm Immortalis-G715,Mediatek Dimensity 9200 (4 nm),"Li-Po 4810 mAh, non-removable battery120W wired, 50% in 8 min (advertised)
Reverse wired",4810.0,3072
vivo X90 Pro,vivo,12,512,4999,Octa-core (1x3.05 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)Octa-core (1x3.05 GHz Cortex-X3 & 3x2.85 GHz Cortex-A715 & 4x1.80 GHz Cortex-A510),Arm Immortalis-G715,Mediatek Dimensity 9200 (4 nm),"Li-Po 4870 mAh, non-removable battery120W wired, 50% in 8 min (advertised)
50W wireless
Reverse wired",4870.0,6144
Samsung Galaxy S23,Samsung,8,256,1899,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Ion 3900 mAh, non-removable battery25W wired, PD3.0, 50% in 30 min (advertised)
15W wireless (Qi/PMA)
4.5W reverse wireless",3900.0,2048
Samsung Galaxy S23 (Variant 1),Samsung,8,256,1899,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Ion 3900 mAh, non-removable battery25W wired, PD3.0, 50% in 30 min (advertised)
15W wireless (Qi/PMA)
4.5W reverse wireless",3900.0,2048
Samsung Galaxy S23 Ultra,Samsung,12,256,3299,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Ion 5000 mAh, non-removable battery45W wired, PD3.0, 65% in 30 min (advertised)
15W wireless (Qi/PMA)
4.5W reverse wireless",5000.0,3072
Samsung Galaxy S23 Ultra (Variant 1),Samsung,12,512,4999,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Ion 5000 mAh, non-removable battery45W wired, PD3.0, 65% in 30 min (advertised)
15W wireless (Qi/PMA)
4.5W reverse wireless",5000.0,6144
Samsung Galaxy S23 Ultra (Variant 2),Samsung,12,1024,7199,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Ion 5000 mAh, non-removable battery45W wired, PD3.0, 65% in 30 min (advertised)
15W wireless (Qi/PMA)
4.5W reverse wireless",5000.0,12288
Samsung Galaxy S23 Plus,Samsung,8,256,4699,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Ion 4700 mAh, non-removable battery45W wired, PD3.0, 65% in 30 min (advertised)
15W wireless (Qi/PMA)
4.5W reverse wireless",4700.0,2048
Samsung Galaxy S23 Plus (Variant 1),Samsung,8,512,5199,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Ion 4700 mAh, non-removable battery45W wired, PD3.0, 65% in 30 min (advertised)
15W wireless (Qi/PMA)
4.5W reverse wireless",4700.0,4096
Oppo A78,Oppo,8,128,465,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,MediaTek MT6833 Dimensity 700 (7 nm),"Li-Po 5000 mAh, non-removable battery33W wired, PD, 52% in 30 min, 100% in 67 min (advertised)",5000.0,1024
Xiaomi 13 Lite,Xiaomi,8,8,1699,Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),"Li-Po 4500 mAh, non-removable battery67W wired, 100% in 40 min (advertised)",4500.0,64
HONOR X9a 5G,HONOR,5,8,1095,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"5100 mAh (typical value), Wired Charging 40W HONOR SuperCharge, Standard Charger 10V4A",5100.0,40
HONOR X7a,HONOR,6,128,799,4xA53 2.3GHz+4xA53 1.7Ghz,IMG PowerVR GE8320,Mediatek MT6765 Helio G37 (12 nm),"6000mAh, HONOR 22.5W SuperCharge Charger., Support up to 10V/2.25A super charge",6000.0,768
TECNO SPARK Go 2023,TECNO,4,64,299,Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,Mediatek MT6761 Helio A22 (12 nm),"Li-Po 5000 mAh, non-removable battery10W wired",5000.0,256
Asus ROG Phone 6 Diablo Immortal Edition,Asus,16,512,4999,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Po 6000 mAh, non-removable battery65W wired, PD3.0, QC5
10W reverse wired",6000.0,8192
vivo Y35 5G,vivo,4,6,395,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,MediaTek MT6833 Dimensity 700 (7 nm),"Li-Po 5000 mAh, non-removable battery15W wired",5000.0,24
iQOO 11,iQOO,16,256,3250,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery120W wired, PD3.0, 1-100% in 25 min (advertised)",5000.0,4096
realme 10 Pro Plus,realme,8,128,925,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,Mediatek MT6877V Dimensity 1080 (6 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3.0, 50% in 17 min (advertised)",5000.0,1024
realme 10 Pro Plus (Variant 1),realme,12,256,1799,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,Mediatek MT6877V Dimensity 1080 (6 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3.0, 50% in 17 min (advertised)",5000.0,3072
realme 10 Pro,realme,8,256,1299,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Li-Po 5000 mAh, non-removable battery33W wired, 50% in 29 min (advertised)",5000.0,2048
Samsung Galaxy A14 5G,Samsung,6,128,609,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) - SM-A146P,Mali-G57 MC2,Mediatek MT6833 Dimensity 700 (7 nm) - SM-A146P,"Li-Po 5000 mAh, non-removable battery15W wired",5000.0,768
realme C30s,realme,4,64,329,Octa-core 1.6 GHz Cortex-A55,"4GB RAM, 64GB ROM",IMG8322,"6.5 inches, 102.0 cm2 (~82.1% screen-to-body ratio)720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,256
realme C30s (Variant 1),realme,4,64,329,Octa-core 1.6 GHz Cortex-A55,"4GB RAM, 64GB ROM",IMG8322,"6.5 inches, 102.0 cm2 (~82.1% screen-to-body ratio)720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,256
nubia RedMagic 7S Pro,nubia,18,512,2999,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Po 5000 mAh battery135W wired, PD3.0, 50% in 5 min, 100% in 15 min (China)
65W wired, PD3.0 (International)",5000.0,9216
nubia RedMagic 7S Pro (Variant 1),nubia,18,512,2999,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Po 5000 mAh battery135W wired, PD3.0, 50% in 5 min, 100% in 15 min (China)
65W wired, PD3.0 (International)",5000.0,9216
Infinix Hot 20i,Infinix,4,128,499,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) / Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,MediaTek MT6762G Helio G25 (12 nm) / Mediatek MT6761 Helio A22 (12 nm),"Li-Ion 5000 mAh, non-removable battery10W wired
5W reverse wired",5000.0,512
Infinix Hot 20,Infinix,4,6,579,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,MediaTek MT6769Z Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery18W wired
5W reverse wired",5000.0,24
Asus ROG Phone 6 Batman Edition,Asus,12,256,4799,Octa-core (1x3.35 GHz Cortex-X2 & 3x3.20 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,MediaTek Dimensity 9000+ (4 nm),"Li-Po 6000 mAh, non-removable battery65W wired, PD3.0, QC5 (Snapdragon model)
10W reverse wired",6000.0,3072
Asus ROG Phone 6D Ultimate,Asus,16,512,2999,Octa-core (1x3.35 GHz Cortex-X2 & 3x3.20 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,MediaTek Dimensity 9000+ (4 nm),"Li-Po 6000 mAh, non-removable battery65W wired, PD3.0
10W reverse wired",6000.0,8192
Asus ROG Phone 6D,Asus,12,256,2199,Octa-core (1x3.35 GHz Cortex-X2 & 3x3.20 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,MediaTek Dimensity 9000+ (4 nm),"Li-Po 6000 mAh, non-removable battery65W wired, PD3.0
10W reverse wired",6000.0,3072
Huawei nova 10 Pro,Huawei,8,256,2599,Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),Adreno 642L,Qualcomm SM7325 Snapdragon 778G 4G (6 nm),"Li-Po 4500 mAh, non-removable batteryFast charging 100W, 20-80% in 10 min (advertised)
Reverse charging",4500.0,2048
Huawei nova 10,Huawei,8,256,2199,Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),Adreno 642L,Qualcomm SM7325 Snapdragon 778G 4G (6 nm),"Li-Po 4000 mAh, non-removable batteryFast charging 66W
Reverse charging",4000.0,2048
Huawei nova 10 SE,Huawei,8,256,1499,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Qualcomm Snapdragon 680G 4G (6 nm),"Li-Po 4500 mAh, non-removable batteryFast charging 66W
Reverse charging",4500.0,2048
Huawei Mate 50 Pro,Huawei,8,512,2751,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),"Li-Po 4700 mAh, non-removable batteryFast charging 66W
Fast wireless charging 50W
Reverse wireless charging 5W",4700.0,4096
Huawei Mate 50 Pro (Variant 1),Huawei,8,512,2751,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),"Li-Po 4700 mAh, non-removable batteryFast charging 66W
Fast wireless charging 50W
Reverse wireless charging 5W",4700.0,4096
Huawei Mate 50,Huawei,8,256,3099,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),"Li-Po 4460 mAh, non-removable batteryFast charging 66W
Fast wireless charging 50W
Reverse wireless charging 5W",4460.0,2048
Samsung Galaxy A04,Samsung,4,64,350,Octa-core (4x2.3 GHz & 4x1.8 GHz),microSDXC (dedicated slot),"64GB, 4GB RAM",PLS LCD,,256
Samsung Galaxy A04 (Variant 1),Samsung,4,64,350,Octa-core (4x2.3 GHz & 4x1.8 GHz),microSDXC (dedicated slot),"64GB, 4GB RAM",PLS LCD,,256
